iter	Logloss
0	0.6494464115
1	0.6166436461
2	0.5942368222
3	0.5768357541
4	0.5637425567
5	0.5531674781
6	0.5433816096
7	0.5363922397
8	0.5309148651
9	0.5256328299
10	0.5224079552
11	0.5195331772
12	0.5164832801
13	0.5136653922
14	0.5114346984
15	0.5099204393
16	0.5085491656
17	0.5078412743
18	0.5070639934
19	0.5066593314
20	0.5055246114
21	0.504789432
22	0.5038255019
23	0.503541527
24	0.5028517212
25	0.501911861
26	0.501478189
27	0.5008912487
28	0.4998997859
29	0.499108492
30	0.4984470701
31	0.4976004624
32	0.497428217
33	0.4970430651
34	0.4961464257
35	0.4958406756
36	0.495336944
37	0.4951826229
38	0.4940379912
39	0.4937442135
40	0.4934011938
41	0.4925845458
42	0.4920956083
43	0.491116487
44	0.4906050389
45	0.4899377895
46	0.489553644
47	0.4889775823
48	0.4886212518
49	0.4881823334
50	0.4880000985
51	0.4875831482
52	0.4873535038
53	0.487039031
54	0.4868343403
55	0.4867764863
56	0.4864610134
57	0.4859154615
58	0.485728008
59	0.4852405882
60	0.48472951
61	0.4841322092
62	0.4839079191
63	0.4836109382
64	0.4835236231
65	0.4832700828
66	0.483233134
67	0.4826784688
68	0.4821081811
69	0.4814564681
70	0.4805371017
71	0.4799577583
72	0.4794958341
73	0.479084582
74	0.4789016373
75	0.4785995622
76	0.4783692875
77	0.4780020946
78	0.4774207765
79	0.4773467987
80	0.477036183
81	0.4766956607
82	0.476480605
83	0.4764353394
84	0.475988137
85	0.4753199429
86	0.4750063963
87	0.4747135011
88	0.4740658489
89	0.4739118328
90	0.4733267616
91	0.473005531
92	0.4726179932
93	0.4716352442
94	0.4713884113
95	0.4713611999
96	0.4712101283
97	0.4711397269
98	0.47073141
99	0.4700890006
100	0.4699116553
101	0.4693872384
102	0.4689026921
103	0.4685774543
104	0.4682208979
105	0.4681093903
106	0.4678463283
107	0.4675384991
108	0.4672309079
109	0.4670142981
110	0.4662410214
111	0.4658202892
112	0.465347618
113	0.4649604485
114	0.464645336
115	0.4644868354
116	0.4643358703
117	0.4640035285
118	0.463471566
119	0.4630486875
120	0.4628510896
121	0.4626700973
122	0.4624408349
123	0.4617223409
124	0.4610537252
125	0.460678974
126	0.4600395108
127	0.459832008
128	0.4598011216
129	0.4590602929
130	0.4585939288
131	0.4583693174
132	0.4581253813
133	0.4579005089
134	0.4574679782
135	0.4573693224
136	0.4571467974
137	0.4569146856
138	0.4568729436
139	0.4565626537
140	0.4562427382
141	0.4555174253
142	0.4553575845
143	0.4553332461
144	0.4551920183
145	0.4546832837
146	0.4545608901
147	0.4543586556
148	0.4538172077
149	0.4536117301
150	0.4534294813
151	0.4532066098
152	0.4531451617
153	0.4529748845
154	0.452489379
155	0.4521061819
156	0.4512239802
157	0.4507433271
158	0.4503679694
159	0.4501113186
160	0.4495480484
161	0.4490368261
162	0.4487451241
163	0.448582565
164	0.4484371796
165	0.4481925803
166	0.4477629501
167	0.4475518214
168	0.4473676243
169	0.4468877959
170	0.4464811336
171	0.4462384271
172	0.4461276245
173	0.4460744376
174	0.4458410366
175	0.445478096
176	0.445373165
177	0.4452253999
178	0.4450884821
179	0.4448151694
180	0.4445521688
181	0.4441998867
182	0.4439352059
183	0.4436432966
184	0.4433069168
185	0.443183172
186	0.4430927305
187	0.4428700368
188	0.4426979604
189	0.4425801987
190	0.442419945
191	0.4422167168
192	0.4420014819
193	0.4419039345
194	0.4416571696
195	0.441426624
196	0.4410761533
197	0.4409477402
198	0.4405655312
199	0.4404199137
200	0.4398954373
201	0.4396710522
202	0.4392950981
203	0.4388651707
204	0.4387673486
205	0.438642389
206	0.4385506089
207	0.4377474291
208	0.4375306516
209	0.4373901861
210	0.4372219111
211	0.4370224308
212	0.4368648963
213	0.4367459325
214	0.4364335599
215	0.4363181328
216	0.4361300872
217	0.4359967034
218	0.4353923573
219	0.4351134728
220	0.4348446721
221	0.4346978219
222	0.4346816186
223	0.4345045504
224	0.4339188591
225	0.4337092965
226	0.4334181636
227	0.433118036
228	0.4330036006
229	0.4328920421
230	0.4327015693
231	0.432109799
232	0.4317468778
233	0.4316023055
234	0.431273251
235	0.4310402513
236	0.4309435817
237	0.4306889269
238	0.4306622199
239	0.4303995902
240	0.4302477723
241	0.4299013868
242	0.4297612835
243	0.429638404
244	0.4289252546
245	0.4288180321
246	0.4285796858
247	0.4281682969
248	0.4276675795
249	0.4270915516
